aggregation,source,source_role,generation_seed,baseline,api_group,category,n_total,n_known,n_true,n_false,n_unknown,failure_rate_known,failure_rate_total_lower_bound
source,campaign_combined,campaign_combined,__ALL__,__ALL__,__ALL__,syntax_error,960,960,335,625,0,0.3489583333333333,0.3489583333333333
source,campaign_combined,campaign_combined,__ALL__,__ALL__,__ALL__,wrong_or_missing_target_api,960,625,13,612,335,0.0208,0.013541666666666667
source,campaign_combined,campaign_combined,__ALL__,__ALL__,__ALL__,missing_import,960,625,0,625,335,0.0,0.0
source,campaign_combined,campaign_combined,__ALL__,__ALL__,__ALL__,shape_or_dtype_error,960,625,9,616,335,0.0144,0.009375
source,campaign_combined,campaign_combined,__ALL__,__ALL__,__ALL__,index_or_bounds_error,960,625,2,623,335,0.0032,0.0020833333333333333
source,campaign_combined,campaign_combined,__ALL__,__ALL__,__ALL__,undefined_name_error,960,625,3,622,335,0.0048,0.003125
source,campaign_combined,campaign_combined,__ALL__,__ALL__,__ALL__,argument_signature_error,960,625,6,619,335,0.0096,0.00625
source,campaign_combined,campaign_combined,__ALL__,__ALL__,__ALL__,dependency_import_error,960,625,0,625,335,0.0,0.0
source,campaign_combined,campaign_combined,__ALL__,__ALL__,__ALL__,setup_or_environment_error,960,625,0,625,335,0.0,0.0
source,campaign_combined,campaign_combined,__ALL__,__ALL__,__ALL__,resource_exhaustion,960,625,0,625,335,0.0,0.0
source,campaign_combined,campaign_combined,__ALL__,__ALL__,__ALL__,runtime_error_other,960,625,9,616,335,0.0144,0.009375
source,campaign_combined,campaign_combined,__ALL__,__ALL__,__ALL__,assertion_failure,960,625,4,621,335,0.0064,0.004166666666666667
source,campaign_combined,campaign_combined,__ALL__,__ALL__,__ALL__,timeout,960,960,0,960,0,0.0,0.0
source,campaign_combined,campaign_combined,__ALL__,__ALL__,__ALL__,missing_oracle,960,625,482,143,335,0.7712,0.5020833333333333
source,campaign_combined,campaign_combined,__ALL__,__ALL__,__ALL__,oracle_not_executed,960,625,113,512,335,0.1808,0.11770833333333333
source,campaign_combined,campaign_combined,__ALL__,__ALL__,__ALL__,fake_assertion,960,625,4,621,335,0.0064,0.004166666666666667
source,campaign_combined,campaign_combined,__ALL__,__ALL__,__ALL__,broad_exception_swallowing,960,625,6,619,335,0.0096,0.00625
source,campaign_combined,campaign_combined,__ALL__,__ALL__,__ALL__,target_not_executed,960,625,121,504,335,0.1936,0.12604166666666666
source,campaign_combined,campaign_combined,__ALL__,__ALL__,__ALL__,truncated_generation,960,960,459,501,0,0.478125,0.478125
source,campaign_combined,campaign_combined,__ALL__,__ALL__,__ALL__,nondeterministic_failure,960,0,0,0,960,,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B0,__ALL__,syntax_error,240,240,0,240,0,0.0,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B0,__ALL__,wrong_or_missing_target_api,240,240,0,240,0,0.0,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B0,__ALL__,missing_import,240,240,0,240,0,0.0,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B0,__ALL__,shape_or_dtype_error,240,240,0,240,0,0.0,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B0,__ALL__,index_or_bounds_error,240,240,0,240,0,0.0,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B0,__ALL__,undefined_name_error,240,240,0,240,0,0.0,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B0,__ALL__,argument_signature_error,240,240,0,240,0,0.0,0.0
baseline,campaign_combined,campaign_combined,__ALL__,B0,__ALL__,dependency_import_error,240,240,0,240,0,0.0,0.0
