source,source_role,source_sha256,source_record_index,run_signature,task_id,baseline,api_group,api,generation_seed,finish_reason,raw_token_count,generation_seconds,subprocess_seconds,exit_code,stderr_excerpt,raw_output_sha256,syntax_error,wrong_or_missing_target_api,missing_import,shape_or_dtype_error,index_or_bounds_error,undefined_name_error,argument_signature_error,dependency_import_error,setup_or_environment_error,resource_exhaustion,runtime_error_other,assertion_failure,timeout,missing_oracle,oracle_not_executed,fake_assertion,broad_exception_swallowing,target_not_executed,truncated_generation,nondeterministic_failure,harness_expected_json,evidence_json
events.checkpoint,campaign_checkpoint,55e61acab475d370f6261be2041fdbb74ef5f06bd8197044df587c60a4f4af09,1,221b2ab2bb66e6110da76ea5cde39b20fb3613e8ee3527f8818a039e7b6d8475,trdgl_pytorch_120_v1|torch.tensor|3407,B0,tensor_creation,torch.tensor,3407,template,,0.0,2.814,0,,87987932ac8129fa87a484f924b412fbc08d8ba90271d2f601d7de36fe30964f,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,"{""fake_assertion"": false, ""missing_oracle"": true, ""syntax_error"": false, ""timeout"": false, ""wrong_or_missing_target_api"": false}","{""argument_signature_error"": ""exit_code=0; no argument/signature diagnostic"", ""assertion_failure"": ""exit_code=0; no AssertionError diagnostic"", ""broad_exception_swallowing"": ""no swallowing broad handler"", ""dependency_import_error"": ""exit_code=0; no dependency import diagnostic"", ""fake_assertion"": ""no recognized fake assertion"", ""index_or_bounds_error"": ""exit_code=0; no index/bounds diagnostic"", ""missing_import"": ""all referenced known module aliases are bound"", ""missing_oracle"": ""no recognized syntactic oracle"", ""nondeterministic_failure"": ""insufficient evidence"", ""oracle_not_executed"": ""no syntactic oracle to execute (reported separately)"", ""resource_exhaustion"": ""exit_code=0; no resource-exhaustion diagnostic"", ""runtime_error_other"": ""exit_code=0"", ""setup_or_environment_error"": ""exit_code=0; no setup/environment diagnostic"", ""shape_or_dtype_error"": ""exit_code=0; no matching shape/dtype diagnostic"", ""syntax_error"": ""ast.parse succeeded"", ""target_not_executed"": ""target API is invoked at module execution scope"", ""timeout"": ""recorded timeout flag"", ""truncated_generation"": ""finish_reason=template"", ""undefined_name_error"": ""exit_code=0; no NameError diagnostic"", ""wrong_or_missing_target_api"": ""harness target_call_present=true; AST matched torch.tensor to torch.tensor""}"
events.checkpoint,campaign_checkpoint,55e61acab475d370f6261be2041fdbb74ef5f06bd8197044df587c60a4f4af09,2,221b2ab2bb66e6110da76ea5cde39b20fb3613e8ee3527f8818a039e7b6d8475,trdgl_pytorch_120_v1|torch.as_tensor|3407,B0,tensor_creation,torch.as_tensor,3407,template,,0.0,2.737,0,,b1fdfd58d191dfd6a2669838891c1dc0c1c372e88781158cbb493829803d7cd1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,"{""fake_assertion"": false, ""missing_oracle"": true, ""syntax_error"": false, ""timeout"": false, ""wrong_or_missing_target_api"": false}","{""argument_signature_error"": ""exit_code=0; no argument/signature diagnostic"", ""assertion_failure"": ""exit_code=0; no AssertionError diagnostic"", ""broad_exception_swallowing"": ""no swallowing broad handler"", ""dependency_import_error"": ""exit_code=0; no dependency import diagnostic"", ""fake_assertion"": ""no recognized fake assertion"", ""index_or_bounds_error"": ""exit_code=0; no index/bounds diagnostic"", ""missing_import"": ""all referenced known module aliases are bound"", ""missing_oracle"": ""no recognized syntactic oracle"", ""nondeterministic_failure"": ""insufficient evidence"", ""oracle_not_executed"": ""no syntactic oracle to execute (reported separately)"", ""resource_exhaustion"": ""exit_code=0; no resource-exhaustion diagnostic"", ""runtime_error_other"": ""exit_code=0"", ""setup_or_environment_error"": ""exit_code=0; no setup/environment diagnostic"", ""shape_or_dtype_error"": ""exit_code=0; no matching shape/dtype diagnostic"", ""syntax_error"": ""ast.parse succeeded"", ""target_not_executed"": ""target API is invoked at module execution scope"", ""timeout"": ""recorded timeout flag"", ""truncated_generation"": ""finish_reason=template"", ""undefined_name_error"": ""exit_code=0; no NameError diagnostic"", ""wrong_or_missing_target_api"": ""harness target_call_present=true; AST matched torch.as_tensor to torch.as_tensor""}"
events.checkpoint,campaign_checkpoint,55e61acab475d370f6261be2041fdbb74ef5f06bd8197044df587c60a4f4af09,3,221b2ab2bb66e6110da76ea5cde39b20fb3613e8ee3527f8818a039e7b6d8475,trdgl_pytorch_120_v1|torch.from_numpy|3407,B0,tensor_creation,torch.from_numpy,3407,template,,0.0,2.268,0,,1d4c9fd964c3c552e775c4fc290e38e6b5ef09318ad2c441b4ba4fd4f1c9cba5,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,"{""fake_assertion"": false, ""missing_oracle"": true, ""syntax_error"": false, ""timeout"": false, ""wrong_or_missing_target_api"": false}","{""argument_signature_error"": ""exit_code=0; no argument/signature diagnostic"", ""assertion_failure"": ""exit_code=0; no AssertionError diagnostic"", ""broad_exception_swallowing"": ""no swallowing broad handler"", ""dependency_import_error"": ""exit_code=0; no dependency import diagnostic"", ""fake_assertion"": ""no recognized fake assertion"", ""index_or_bounds_error"": ""exit_code=0; no index/bounds diagnostic"", ""missing_import"": ""all referenced known module aliases are bound"", ""missing_oracle"": ""no recognized syntactic oracle"", ""nondeterministic_failure"": ""insufficient evidence"", ""oracle_not_executed"": ""no syntactic oracle to execute (reported separately)"", ""resource_exhaustion"": ""exit_code=0; no resource-exhaustion diagnostic"", ""runtime_error_other"": ""exit_code=0"", ""setup_or_environment_error"": ""exit_code=0; no setup/environment diagnostic"", ""shape_or_dtype_error"": ""exit_code=0; no matching shape/dtype diagnostic"", ""syntax_error"": ""ast.parse succeeded"", ""target_not_executed"": ""target API is invoked at module execution scope"", ""timeout"": ""recorded timeout flag"", ""truncated_generation"": ""finish_reason=template"", ""undefined_name_error"": ""exit_code=0; no NameError diagnostic"", ""wrong_or_missing_target_api"": ""harness target_call_present=true; AST matched torch.from_numpy to torch.from_numpy""}"
events.checkpoint,campaign_checkpoint,55e61acab475d370f6261be2041fdbb74ef5f06bd8197044df587c60a4f4af09,4,221b2ab2bb66e6110da76ea5cde39b20fb3613e8ee3527f8818a039e7b6d8475,trdgl_pytorch_120_v1|torch.arange|3407,B0,tensor_creation,torch.arange,3407,template,,0.0,2.237,0,,0c5efef3cc7bfcf1255b6c86e04e690745a9191388ff936e416a73e46d5c75f1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,"{""fake_assertion"": false, ""missing_oracle"": true, ""syntax_error"": false, ""timeout"": false, ""wrong_or_missing_target_api"": false}","{""argument_signature_error"": ""exit_code=0; no argument/signature diagnostic"", ""assertion_failure"": ""exit_code=0; no AssertionError diagnostic"", ""broad_exception_swallowing"": ""no swallowing broad handler"", ""dependency_import_error"": ""exit_code=0; no dependency import diagnostic"", ""fake_assertion"": ""no recognized fake assertion"", ""index_or_bounds_error"": ""exit_code=0; no index/bounds diagnostic"", ""missing_import"": ""all referenced known module aliases are bound"", ""missing_oracle"": ""no recognized syntactic oracle"", ""nondeterministic_failure"": ""insufficient evidence"", ""oracle_not_executed"": ""no syntactic oracle to execute (reported separately)"", ""resource_exhaustion"": ""exit_code=0; no resource-exhaustion diagnostic"", ""runtime_error_other"": ""exit_code=0"", ""setup_or_environment_error"": ""exit_code=0; no setup/environment diagnostic"", ""shape_or_dtype_error"": ""exit_code=0; no matching shape/dtype diagnostic"", ""syntax_error"": ""ast.parse succeeded"", ""target_not_executed"": ""target API is invoked at module execution scope"", ""timeout"": ""recorded timeout flag"", ""truncated_generation"": ""finish_reason=template"", ""undefined_name_error"": ""exit_code=0; no NameError diagnostic"", ""wrong_or_missing_target_api"": ""harness target_call_present=true; AST matched torch.arange to torch.arange""}"
events.checkpoint,campaign_checkpoint,55e61acab475d370f6261be2041fdbb74ef5f06bd8197044df587c60a4f4af09,5,221b2ab2bb66e6110da76ea5cde39b20fb3613e8ee3527f8818a039e7b6d8475,trdgl_pytorch_120_v1|torch.linspace|3407,B0,tensor_creation,torch.linspace,3407,template,,0.0,2.31,0,,59b023315d73e8c5c9f8a4726779fdad98cf5879f0cb78ae9a0186c254e6fb8d,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,"{""fake_assertion"": false, ""missing_oracle"": true, ""syntax_error"": false, ""timeout"": false, ""wrong_or_missing_target_api"": false}","{""argument_signature_error"": ""exit_code=0; no argument/signature diagnostic"", ""assertion_failure"": ""exit_code=0; no AssertionError diagnostic"", ""broad_exception_swallowing"": ""no swallowing broad handler"", ""dependency_import_error"": ""exit_code=0; no dependency import diagnostic"", ""fake_assertion"": ""no recognized fake assertion"", ""index_or_bounds_error"": ""exit_code=0; no index/bounds diagnostic"", ""missing_import"": ""all referenced known module aliases are bound"", ""missing_oracle"": ""no recognized syntactic oracle"", ""nondeterministic_failure"": ""insufficient evidence"", ""oracle_not_executed"": ""no syntactic oracle to execute (reported separately)"", ""resource_exhaustion"": ""exit_code=0; no resource-exhaustion diagnostic"", ""runtime_error_other"": ""exit_code=0"", ""setup_or_environment_error"": ""exit_code=0; no setup/environment diagnostic"", ""shape_or_dtype_error"": ""exit_code=0; no matching shape/dtype diagnostic"", ""syntax_error"": ""ast.parse succeeded"", ""target_not_executed"": ""target API is invoked at module execution scope"", ""timeout"": ""recorded timeout flag"", ""truncated_generation"": ""finish_reason=template"", ""undefined_name_error"": ""exit_code=0; no NameError diagnostic"", ""wrong_or_missing_target_api"": ""harness target_call_present=true; AST matched torch.linspace to torch.linspace""}"
events.checkpoint,campaign_checkpoint,55e61acab475d370f6261be2041fdbb74ef5f06bd8197044df587c60a4f4af09,6,221b2ab2bb66e6110da76ea5cde39b20fb3613e8ee3527f8818a039e7b6d8475,trdgl_pytorch_120_v1|torch.logspace|3407,B0,tensor_creation,torch.logspace,3407,template,,0.0,2.607,0,,c8fc831da34a92c7013be634b361c6b4a6770d3e92e19f8bc7d1922b442557ee,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,"{""fake_assertion"": false, ""missing_oracle"": true, ""syntax_error"": false, ""timeout"": false, ""wrong_or_missing_target_api"": false}","{""argument_signature_error"": ""exit_code=0; no argument/signature diagnostic"", ""assertion_failure"": ""exit_code=0; no AssertionError diagnostic"", ""broad_exception_swallowing"": ""no swallowing broad handler"", ""dependency_import_error"": ""exit_code=0; no dependency import diagnostic"", ""fake_assertion"": ""no recognized fake assertion"", ""index_or_bounds_error"": ""exit_code=0; no index/bounds diagnostic"", ""missing_import"": ""all referenced known module aliases are bound"", ""missing_oracle"": ""no recognized syntactic oracle"", ""nondeterministic_failure"": ""insufficient evidence"", ""oracle_not_executed"": ""no syntactic oracle to execute (reported separately)"", ""resource_exhaustion"": ""exit_code=0; no resource-exhaustion diagnostic"", ""runtime_error_other"": ""exit_code=0"", ""setup_or_environment_error"": ""exit_code=0; no setup/environment diagnostic"", ""shape_or_dtype_error"": ""exit_code=0; no matching shape/dtype diagnostic"", ""syntax_error"": ""ast.parse succeeded"", ""target_not_executed"": ""target API is invoked at module execution scope"", ""timeout"": ""recorded timeout flag"", ""truncated_generation"": ""finish_reason=template"", ""undefined_name_error"": ""exit_code=0; no NameError diagnostic"", ""wrong_or_missing_target_api"": ""harness target_call_present=true; AST matched torch.logspace to torch.logspace""}"
events.checkpoint,campaign_checkpoint,55e61acab475d370f6261be2041fdbb74ef5f06bd8197044df587c60a4f4af09,7,221b2ab2bb66e6110da76ea5cde39b20fb3613e8ee3527f8818a039e7b6d8475,trdgl_pytorch_120_v1|torch.zeros|3407,B0,tensor_creation,torch.zeros,3407,template,,0.0,2.854,0,,1da81de44766adde0b893ce2e285045da33c1e0da21df3663f1c9482da793a86,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,"{""fake_assertion"": false, ""missing_oracle"": true, ""syntax_error"": false, ""timeout"": false, ""wrong_or_missing_target_api"": false}","{""argument_signature_error"": ""exit_code=0; no argument/signature diagnostic"", ""assertion_failure"": ""exit_code=0; no AssertionError diagnostic"", ""broad_exception_swallowing"": ""no swallowing broad handler"", ""dependency_import_error"": ""exit_code=0; no dependency import diagnostic"", ""fake_assertion"": ""no recognized fake assertion"", ""index_or_bounds_error"": ""exit_code=0; no index/bounds diagnostic"", ""missing_import"": ""all referenced known module aliases are bound"", ""missing_oracle"": ""no recognized syntactic oracle"", ""nondeterministic_failure"": ""insufficient evidence"", ""oracle_not_executed"": ""no syntactic oracle to execute (reported separately)"", ""resource_exhaustion"": ""exit_code=0; no resource-exhaustion diagnostic"", ""runtime_error_other"": ""exit_code=0"", ""setup_or_environment_error"": ""exit_code=0; no setup/environment diagnostic"", ""shape_or_dtype_error"": ""exit_code=0; no matching shape/dtype diagnostic"", ""syntax_error"": ""ast.parse succeeded"", ""target_not_executed"": ""target API is invoked at module execution scope"", ""timeout"": ""recorded timeout flag"", ""truncated_generation"": ""finish_reason=template"", ""undefined_name_error"": ""exit_code=0; no NameError diagnostic"", ""wrong_or_missing_target_api"": ""harness target_call_present=true; AST matched torch.zeros to torch.zeros""}"
events.checkpoint,campaign_checkpoint,55e61acab475d370f6261be2041fdbb74ef5f06bd8197044df587c60a4f4af09,8,221b2ab2bb66e6110da76ea5cde39b20fb3613e8ee3527f8818a039e7b6d8475,trdgl_pytorch_120_v1|torch.ones|3407,B0,tensor_creation,torch.ones,3407,template,,0.0,2.352,0,,6139f0f011fe14ec7395367feb37e842491ac51d3cfc2381b13757c2b05480a3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,"{""fake_assertion"": false, ""missing_oracle"": true, ""syntax_error"": false, ""timeout"": false, ""wrong_or_missing_target_api"": false}","{""argument_signature_error"": ""exit_code=0; no argument/signature diagnostic"", ""assertion_failure"": ""exit_code=0; no AssertionError diagnostic"", ""broad_exception_swallowing"": ""no swallowing broad handler"", ""dependency_import_error"": ""exit_code=0; no dependency import diagnostic"", ""fake_assertion"": ""no recognized fake assertion"", ""index_or_bounds_error"": ""exit_code=0; no index/bounds diagnostic"", ""missing_import"": ""all referenced known module aliases are bound"", ""missing_oracle"": ""no recognized syntactic oracle"", ""nondeterministic_failure"": ""insufficient evidence"", ""oracle_not_executed"": ""no syntactic oracle to execute (reported separately)"", ""resource_exhaustion"": ""exit_code=0; no resource-exhaustion diagnostic"", ""runtime_error_other"": ""exit_code=0"", ""setup_or_environment_error"": ""exit_code=0; no setup/environment diagnostic"", ""shape_or_dtype_error"": ""exit_code=0; no matching shape/dtype diagnostic"", ""syntax_error"": ""ast.parse succeeded"", ""target_not_executed"": ""target API is invoked at module execution scope"", ""timeout"": ""recorded timeout flag"", ""truncated_generation"": ""finish_reason=template"", ""undefined_name_error"": ""exit_code=0; no NameError diagnostic"", ""wrong_or_missing_target_api"": ""harness target_call_present=true; AST matched torch.ones to torch.ones""}"
events.checkpoint,campaign_checkpoint,55e61acab475d370f6261be2041fdbb74ef5f06bd8197044df587c60a4f4af09,9,221b2ab2bb66e6110da76ea5cde39b20fb3613e8ee3527f8818a039e7b6d8475,trdgl_pytorch_120_v1|torch.empty|3407,B0,tensor_creation,torch.empty,3407,template,,0.0,2.291,0,,bd9ab0c28dae06fd83879eed62cc9c3ed4107a9769f301b2ffedf35a40fabc10,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,"{""fake_assertion"": false, ""missing_oracle"": true, ""syntax_error"": false, ""timeout"": false, ""wrong_or_missing_target_api"": false}","{""argument_signature_error"": ""exit_code=0; no argument/signature diagnostic"", ""assertion_failure"": ""exit_code=0; no AssertionError diagnostic"", ""broad_exception_swallowing"": ""no swallowing broad handler"", ""dependency_import_error"": ""exit_code=0; no dependency import diagnostic"", ""fake_assertion"": ""no recognized fake assertion"", ""index_or_bounds_error"": ""exit_code=0; no index/bounds diagnostic"", ""missing_import"": ""all referenced known module aliases are bound"", ""missing_oracle"": ""no recognized syntactic oracle"", ""nondeterministic_failure"": ""insufficient evidence"", ""oracle_not_executed"": ""no syntactic oracle to execute (reported separately)"", ""resource_exhaustion"": ""exit_code=0; no resource-exhaustion diagnostic"", ""runtime_error_other"": ""exit_code=0"", ""setup_or_environment_error"": ""exit_code=0; no setup/environment diagnostic"", ""shape_or_dtype_error"": ""exit_code=0; no matching shape/dtype diagnostic"", ""syntax_error"": ""ast.parse succeeded"", ""target_not_executed"": ""target API is invoked at module execution scope"", ""timeout"": ""recorded timeout flag"", ""truncated_generation"": ""finish_reason=template"", ""undefined_name_error"": ""exit_code=0; no NameError diagnostic"", ""wrong_or_missing_target_api"": ""harness target_call_present=true; AST matched torch.empty to torch.empty""}"
events.checkpoint,campaign_checkpoint,55e61acab475d370f6261be2041fdbb74ef5f06bd8197044df587c60a4f4af09,10,221b2ab2bb66e6110da76ea5cde39b20fb3613e8ee3527f8818a039e7b6d8475,trdgl_pytorch_120_v1|torch.full|3407,B0,tensor_creation,torch.full,3407,template,,0.0,2.284,0,,20c633e0ff9acae27bc1e21b7f69df9d62843ac3dca417f951410024ace27709,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,"{""fake_assertion"": false, ""missing_oracle"": true, ""syntax_error"": false, ""timeout"": false, ""wrong_or_missing_target_api"": false}","{""argument_signature_error"": ""exit_code=0; no argument/signature diagnostic"", ""assertion_failure"": ""exit_code=0; no AssertionError diagnostic"", ""broad_exception_swallowing"": ""no swallowing broad handler"", ""dependency_import_error"": ""exit_code=0; no dependency import diagnostic"", ""fake_assertion"": ""no recognized fake assertion"", ""index_or_bounds_error"": ""exit_code=0; no index/bounds diagnostic"", ""missing_import"": ""all referenced known module aliases are bound"", ""missing_oracle"": ""no recognized syntactic oracle"", ""nondeterministic_failure"": ""insufficient evidence"", ""oracle_not_executed"": ""no syntactic oracle to execute (reported separately)"", ""resource_exhaustion"": ""exit_code=0; no resource-exhaustion diagnostic"", ""runtime_error_other"": ""exit_code=0"", ""setup_or_environment_error"": ""exit_code=0; no setup/environment diagnostic"", ""shape_or_dtype_error"": ""exit_code=0; no matching shape/dtype diagnostic"", ""syntax_error"": ""ast.parse succeeded"", ""target_not_executed"": ""target API is invoked at module execution scope"", ""timeout"": ""recorded timeout flag"", ""truncated_generation"": ""finish_reason=template"", ""undefined_name_error"": ""exit_code=0; no NameError diagnostic"", ""wrong_or_missing_target_api"": ""harness target_call_present=true; AST matched torch.full to torch.full""}"
